participant_id,rater_effect,n_trials,empirical_remove_rate
P_1781953632248_glqm2wltq,0.5302535548449048,13,0.46153846153846156
P_1781988154941_4dtx1cmlk,0.22405650302025004,11,0.36363636363636365
P_1781988157590_07yjc9e60,-0.7409778040000078,15,0.06666666666666667
P_1781988164796_o1d1rt7e6,-0.8667966556460608,13,0.0
P_1781988172391_vxtwtkb8e,-0.5367482868776988,12,0.08333333333333333
P_1781988180304_vwbxx2ano,0.008546249177021625,11,0.2727272727272727
P_1781988181059_dz3gsm5e0,-0.8207874001189351,11,0.0
P_1781988181651_gkqn8vp7r,-0.37802176299020374,13,0.15384615384615385
P_1781988183450_a55wxzoo4,-0.21236222692388507,13,0.23076923076923078
P_1781988186011_2bpgzspes,0.1769657414349926,14,0.35714285714285715
P_1781988206397_r47qmmgw2,-0.7790502947666021,16,0.0625
P_1781988210659_74wuipr92,0.05688481881649088,14,0.2857142857142857
P_1781988212469_e2hzca3e1,-0.9037151924699419,12,0.0
P_1781988215171_es1z5cn0p,1.2890447670320682,12,0.75
P_1781988217722_zzta332cp,-0.5138875111256224,15,0.13333333333333333
P_1781988220999_1kwkf00j8,-0.8339457012499646,16,0.0625
P_1781988224917_ly260s5fm,0.28288379582862794,16,0.375
P_1781988226480_tifxypqlp,0.3654046096733352,15,0.4
P_1781988227951_mfgf27zjw,-0.23449728023502092,14,0.21428571428571427
P_1781988232926_hfe0uyaa9,-0.3303825302988953,12,0.16666666666666666
P_1781988233313_nrw2up5uu,-0.9088066711721755,12,0.0
P_1781988235069_ub2lj8vpd,0.10435484382266402,13,0.3076923076923077
P_1781988237290_xr6m46mtb,0.2038267028350113,9,0.3333333333333333
P_1781988240483_g85adfvjr,0.1719333605630985,16,0.375
P_1781988240902_au9ko2la8,-0.5950017063435821,17,0.11764705882352941
P_1781988242093_3v25w29ra,0.5000319727851988,15,0.4666666666666667
P_1781988242937_f6m19q4vc,-0.835105661069831,19,0.05263157894736842
P_1781988245307_lov7c04bf,-0.13389071988183798,16,0.25
P_1781988246441_hmmeuaa2a,-0.7150075729748738,13,0.07692307692307693
P_1781988246771_yhwgim22w,-0.9080150312947776,16,0.0
P_1781988246801_owiddf2uk,-0.9425439160858328,16,0.0
P_1781988249533_2h2rjqbwu,-0.023638189950949795,14,0.2857142857142857
P_1781988249600_1i1hrz7wd,1.3175210197909926,11,0.7272727272727273
P_1781988251492_cf1f0ovhk,-0.38563157621221955,12,0.16666666666666666
P_1781988253057_espnjwuom,-0.4911614060989399,14,0.14285714285714285
P_1781988253085_qt73si2md,-1.0032780901505984,15,0.0
P_1781988253627_c4n62lei7,-1.0445148669578979,18,0.0
P_1781988255163_he4kg0j8w,0.4192335232241967,13,0.46153846153846156
P_1781988258029_1xgskd2mv,-0.737723304318958,14,0.07142857142857142
P_1781988261033_hsqyxobzf,0.19713598970446838,14,0.35714285714285715
P_1781988261448_qcp1v952b,0.48993210937644727,13,0.46153846153846156
P_1781988263777_uuinqqrc9,-0.4735778619377179,13,0.15384615384615385
P_1781988263897_d231rte3t,-0.6777440963836822,14,0.07142857142857142
P_1781988265313_7kpbqs4pj,0.6076835577648805,16,0.5
P_1781988268588_j27nz4nie,-0.7608707408291339,15,0.06666666666666667
P_1781988268738_vflio5jcg,-0.7310650010783603,15,0.06666666666666667
P_1781988271451_7aggow4a6,-0.7893023537486598,16,0.0625
P_1781988272132_52jvdg7uk,-0.24743861654251176,13,0.23076923076923078
P_1781988272870_mhv9kxenz,-0.38307552629800223,13,0.15384615384615385
P_1781988273834_s71ubqez7,1.3496783174685547,12,0.75
P_1781988274537_och6nbub5,-0.7506919761158796,11,0.0
P_1781988275068_lde9rj6q8,0.43279496428844144,16,0.4375
P_1781988276345_he0choz05,-0.09925413248490011,12,0.25
P_1781988279536_5if8t7id3,0.4125422389866357,14,0.42857142857142855
P_1781988280304_qw29r3hul,-0.40809762092601165,13,0.15384615384615385
P_1781988284217_4s41evkqt,0.6076534137040575,12,0.5
P_1781988286378_h91p9fqaa,-0.6727529394895556,14,0.07142857142857142
P_1781988288054_15t9omflg,-0.11937093680016064,12,0.25
P_1781988288998_birqczteo,0.14663374981562421,12,0.3333333333333333
P_1781988295386_sdd1uoq0o,-0.36045241654409965,12,0.16666666666666666
P_1781988300083_vfw2qgu8s,-0.702810350766845,14,0.07142857142857142
P_1781988301983_fjecy21eo,0.7405728263129339,15,0.5333333333333333
P_1781988304933_ljjiiei5q,0.510102839919491,13,0.46153846153846156
P_1781988305881_rmf1wodo3,0.01673039109256924,14,0.2857142857142857
P_1781988308565_nmrad1q5o,-0.24223665897063507,13,0.23076923076923078
P_1781988309389_fpjt3r7yw,0.6076757393649844,12,0.5
P_1781988311980_5xi8zfahe,0.8835323873601837,12,0.5833333333333334
P_1781988315879_v0g2k0p0u,0.5101530597081545,13,0.46153846153846156
P_1781988319438_45nuy4nif,-0.12137882437483316,15,0.26666666666666666
P_1781988320001_vf713xtna,0.08431604376646945,15,0.3333333333333333
P_1781988321032_4kkqntpjo,-0.37048248885340407,12,0.16666666666666666
P_1781988324526_5rhdb3e14,1.3094221981525855,12,0.75
P_1781988324828_b39ze6er1,-0.5990006459592504,15,0.13333333333333333
P_1781988325842_mnczczy1k,-0.7727620568013841,17,0.058823529411764705
P_1781988329828_3d9xz56og,-0.08402559644965257,14,0.2857142857142857
P_1781988331925_qdi26rhhn,-0.07906595440405162,14,0.2857142857142857
P_1781988339028_jaxjars6t,-1.0070550658510058,16,0.0
P_1781988351702_6zh6v7e0a,0.17186319089766544,14,0.35714285714285715
P_1781988352041_gzvq5objx,-0.9315686385083685,13,0.0
P_1781988354363_sq4wojdrn,-0.3603661133504682,16,0.1875
P_1781988363135_mgb870raw,-0.5137309200489545,15,0.13333333333333333
P_1781988369332_uitgt3706,0.1213694364145751,12,0.3333333333333333
P_1781988369966_rkh8ra01p,-0.2325015319638214,11,0.18181818181818182
P_1781988374124_hnnojzk7o,0.945902930213756,13,0.6153846153846154
P_1781988379249_lri41xkxb,-0.22662085257172693,17,0.23529411764705882
P_1781988379959_4d9om038m,0.14161427082018369,14,0.35714285714285715
P_1781988380481_82gt05u42,0.30476701014483576,15,0.4
P_1781988382621_bqavgwd5i,0.043958319776609245,13,0.3076923076923077
P_1781988384504_qfty0g05t,-0.6119095804621161,16,0.125
P_1781988387976_oh3cnj9mz,0.7506699149871552,13,0.5384615384615384
P_1781988389030_dpt0l5565,-0.4001739410261854,16,0.1875
P_1781988391301_j31w1p64i,-0.6347568920064154,13,0.07692307692307693
P_1781988391942_2riixawcz,-0.0034053692857693996,14,0.2857142857142857
P_1781988400952_wi2rnpkcw,-0.4507942536151349,14,0.14285714285714285
