topic,n_posts,share
-1,3435,0.4003963165870148
0,891,0.10385825853829117
1,329,0.0383494579787854
2,240,0.027975288495162606
3,464,0.05408555775731437
4,266,0.031005944748805223
5,149,0.017367991607413452
6,217,0.025294323347709525
7,114,0.013288262035202237
8,96,0.011190115398065043
9,71,0.008276022846485605
10,52,0.006061312507285231
11,166,0.01934957454248747
12,99,0.011539806504254575
13,78,0.009091968760927847
14,81,0.00944165986711738
15,55,0.006411003613474764
16,33,0.0038466021680848583
17,73,0.00850915025061196
18,126,0.014687026459960369
19,91,0.010607296887749154
20,40,0.004662548082527101
21,70,0.008159459144422426
22,87,0.010141042079496445
23,77,0.008975405058864669
24,23,0.002680965147453083
25,28,0.003263783657768971
26,40,0.004662548082527101
27,17,0.0019815829350740177
28,43,0.005012239188716633
29,27,0.0031472199557057933
30,21,0.002447837743326728
31,56,0.006527567315537942
32,14,0.0016318918288844855
33,27,0.0031472199557057933
34,7,0.0008159459144422427
35,11,0.0012822007226949528
36,29,0.003380347359832148
37,24,0.002797528849516261
38,30,0.003496911061895326
39,22,0.0025644014453899055
40,13,0.0015153281268213078
41,18,0.0020981466371371954
42,21,0.002447837743326728
43,18,0.0020981466371371954
44,12,0.0013987644247581304
45,8,0.0009325096165054202
46,15,0.001748455530947663
47,27,0.0031472199557057933
48,7,0.0008159459144422427
49,8,0.0009325096165054202
50,22,0.0025644014453899055
51,13,0.0015153281268213078
52,20,0.0023312740412635507
53,18,0.0020981466371371954
54,13,0.0015153281268213078
55,13,0.0015153281268213078
56,10,0.0011656370206317753
57,11,0.0012822007226949528
58,11,0.0012822007226949528
59,10,0.0011656370206317753
60,11,0.0012822007226949528
61,16,0.0018650192330108403
62,5,0.0005828185103158877
63,21,0.002447837743326728
64,15,0.001748455530947663
65,22,0.0025644014453899055
66,10,0.0011656370206317753
67,6,0.0006993822123790652
68,22,0.0025644014453899055
69,17,0.0019815829350740177
70,17,0.0019815829350740177
71,24,0.002797528849516261
72,7,0.0008159459144422427
73,6,0.0006993822123790652
74,5,0.0005828185103158877
75,18,0.0020981466371371954
76,12,0.0013987644247581304
77,10,0.0011656370206317753
78,18,0.0020981466371371954
79,20,0.0023312740412635507
80,16,0.0018650192330108403
81,9,0.0010490733185685977
82,3,0.0003496911061895326
83,9,0.0010490733185685977
84,10,0.0011656370206317753
85,14,0.0016318918288844855
86,6,0.0006993822123790652
87,15,0.001748455530947663
88,7,0.0008159459144422427
89,7,0.0008159459144422427
90,5,0.0005828185103158877
91,12,0.0013987644247581304
92,10,0.0011656370206317753
93,7,0.0008159459144422427
94,13,0.0015153281268213078
95,5,0.0005828185103158877
96,11,0.0012822007226949528
97,11,0.0012822007226949528
98,5,0.0005828185103158877
99,15,0.001748455530947663
