topic,n_posts,share
-1,2574,0.34256055363321797
0,1386,0.1844556827255789
1,828,0.11019430396593026
2,176,0.02342294383816875
3,150,0.019962736225712003
4,179,0.023822198562682993
5,140,0.01863188714399787
6,116,0.015437849347883949
7,118,0.015704019164226778
8,113,0.01503859462336971
9,107,0.01424008517434123
10,98,0.01304232100079851
11,92,0.01224381155177003
12,82,0.010912962470055895
13,72,0.009582113388341761
14,76,0.010114453021027415
15,63,0.008384349214799042
16,66,0.008783603939313283
17,64,0.008517434122970456
18,55,0.007319669949427735
19,55,0.007319669949427735
20,68,0.00904977375565611
21,55,0.007319669949427735
22,54,0.007186585041256322
23,43,0.005722651051370774
24,45,0.005988820867713601
25,38,0.005057226510513707
26,47,0.006254990684056428
27,35,0.004657971785999467
28,31,0.0041256321533138145
29,33,0.004391801969656641
30,21,0.0027947830715996805
31,31,0.0041256321533138145
32,27,0.003593292520628161
33,24,0.0031940377961139207
34,13,0.0017301038062283738
35,24,0.0031940377961139207
36,22,0.002927867979771094
37,24,0.0031940377961139207
38,23,0.0030609528879425073
39,23,0.0030609528879425073
40,21,0.0027947830715996805
41,17,0.0022624434389140274
42,19,0.0025286132552568537
43,18,0.0023955283470854403
44,22,0.002927867979771094
45,19,0.0025286132552568537
46,18,0.0023955283470854403
47,19,0.0025286132552568537
48,14,0.0018631887143997872
49,16,0.002129358530742614
50,13,0.0017301038062283738
51,14,0.0018631887143997872
52,13,0.0017301038062283738
