topic,n_posts_part2,share_part2,n_posts_part3,share_part3,delta
-1,2574.0,0.34256055363321797,2541,0.33816875166356136,-0.004391801969656606
0,1386.0,0.1844556827255789,1276,0.16981634282672345,-0.014639339898855463
1,828.0,0.11019430396593026,389,0.0517700292786798,-0.05842427468725046
2,176.0,0.02342294383816875,210,0.027947830715996807,0.004524886877828056
3,150.0,0.019962736225712003,509,0.0677402182592494,0.047777482033537405
4,179.0,0.023822198562682993,230,0.030609528879425075,0.006787330316742082
5,140.0,0.01863188714399787,194,0.025818472185254192,0.0071865850412563236
6,116.0,0.015437849347883949,92,0.01224381155177003,-0.00319403779611392
7,118.0,0.015704019164226778,211,0.02808091562416822,0.012376896459941441
8,113.0,0.01503859462336971,87,0.011578387010912962,-0.0034602076124567484
9,107.0,0.01424008517434123,76,0.010114453021027415,-0.004125632153313815
10,98.0,0.01304232100079851,54,0.007186585041256322,-0.005855735959542188
11,92.0,0.01224381155177003,48,0.006388075592227841,-0.005855735959542188
12,82.0,0.010912962470055895,73,0.009715198296513175,-0.0011977641735427206
13,72.0,0.009582113388341761,66,0.008783603939313283,-0.0007985094490284787
14,76.0,0.010114453021027415,57,0.007585839765770562,-0.002528613255256853
15,63.0,0.008384349214799042,47,0.006254990684056428,-0.0021293585307426144
16,66.0,0.008783603939313283,63,0.008384349214799042,-0.0003992547245142402
17,64.0,0.008517434122970456,79,0.010513707745541655,0.0019962736225711993
18,55.0,0.007319669949427735,46,0.006121905775885015,-0.0011977641735427206
19,55.0,0.007319669949427735,40,0.005323396326856534,-0.001996273622571201
20,68.0,0.00904977375565611,17,0.0022624434389140274,-0.006787330316742082
21,55.0,0.007319669949427735,65,0.00865051903114187,0.001330849081714134
22,54.0,0.007186585041256322,49,0.006521160500399255,-0.000665424540857067
23,43.0,0.005722651051370774,72,0.009582113388341761,0.003859462336970987
24,45.0,0.005988820867713601,21,0.0027947830715996805,-0.0031940377961139207
25,38.0,0.005057226510513707,17,0.0022624434389140274,-0.00279478307159968
26,47.0,0.006254990684056428,20,0.002661698163428267,-0.003593292520628161
27,35.0,0.004657971785999467,35,0.004657971785999467,0.0
28,31.0,0.0041256321533138145,15,0.0019962736225712006,-0.002129358530742614
29,33.0,0.004391801969656641,10,0.0013308490817141336,-0.0030609528879425077
30,21.0,0.0027947830715996805,6,0.0007985094490284802,-0.0019962736225712
31,31.0,0.0041256321533138145,15,0.0019962736225712006,-0.002129358530742614
32,27.0,0.003593292520628161,18,0.0023955283470854403,-0.0011977641735427206
33,24.0,0.0031940377961139207,45,0.005988820867713601,0.0027947830715996805
34,13.0,0.0017301038062283738,18,0.0023955283470854403,0.0006654245408570666
35,24.0,0.0031940377961139207,9,0.0011977641735427202,-0.0019962736225712006
36,22.0,0.002927867979771094,19,0.0025286132552568537,-0.0003992547245142402
37,24.0,0.0031940377961139207,41,0.005456481235027948,0.002262443438914027
38,23.0,0.0030609528879425073,15,0.0019962736225712006,-0.0010646792653713068
39,23.0,0.0030609528879425073,14,0.0018631887143997872,-0.0011977641735427202
40,21.0,0.0027947830715996805,30,0.003992547245142401,0.0011977641735427206
41,17.0,0.0022624434389140274,16,0.002129358530742614,-0.0001330849081714134
42,19.0,0.0025286132552568537,23,0.0030609528879425073,0.0005323396326856536
43,18.0,0.0023955283470854403,6,0.0007985094490284802,-0.0015970188980569601
44,22.0,0.002927867979771094,9,0.0011977641735427202,-0.0017301038062283738
45,19.0,0.0025286132552568537,32,0.004258717061485228,0.0017301038062283742
46,18.0,0.0023955283470854403,16,0.002129358530742614,-0.00026616981634282636
47,19.0,0.0025286132552568537,3,0.0003992547245142401,-0.0021293585307426135
48,14.0,0.0018631887143997872,23,0.0030609528879425073,0.0011977641735427202
49,16.0,0.002129358530742614,14,0.0018631887143997872,-0.0002661698163428268
50,13.0,0.0017301038062283738,10,0.0013308490817141336,-0.0003992547245142402
51,14.0,0.0018631887143997872,8,0.001064679265371307,-0.0007985094490284802
52,13.0,0.0017301038062283738,20,0.002661698163428267,0.0009315943571998934
53,0.0,0.0,5,0.0006654245408570668,0.0006654245408570668
54,0.0,0.0,14,0.0018631887143997872,0.0018631887143997872
55,0.0,0.0,14,0.0018631887143997872,0.0018631887143997872
56,0.0,0.0,21,0.0027947830715996805,0.0027947830715996805
57,0.0,0.0,8,0.001064679265371307,0.001064679265371307
58,0.0,0.0,12,0.0015970188980569604,0.0015970188980569604
59,0.0,0.0,10,0.0013308490817141336,0.0013308490817141336
60,0.0,0.0,4,0.0005323396326856535,0.0005323396326856535
61,0.0,0.0,8,0.001064679265371307,0.001064679265371307
62,0.0,0.0,21,0.0027947830715996805,0.0027947830715996805
63,0.0,0.0,10,0.0013308490817141336,0.0013308490817141336
64,0.0,0.0,13,0.0017301038062283738,0.0017301038062283738
65,0.0,0.0,21,0.0027947830715996805,0.0027947830715996805
66,0.0,0.0,10,0.0013308490817141336,0.0013308490817141336
67,0.0,0.0,12,0.0015970188980569604,0.0015970188980569604
68,0.0,0.0,13,0.0017301038062283738,0.0017301038062283738
69,0.0,0.0,10,0.0013308490817141336,0.0013308490817141336
70,0.0,0.0,10,0.0013308490817141336,0.0013308490817141336
71,0.0,0.0,19,0.0025286132552568537,0.0025286132552568537
72,0.0,0.0,21,0.0027947830715996805,0.0027947830715996805
73,0.0,0.0,8,0.001064679265371307,0.001064679265371307
74,0.0,0.0,5,0.0006654245408570668,0.0006654245408570668
75,0.0,0.0,5,0.0006654245408570668,0.0006654245408570668
76,0.0,0.0,3,0.0003992547245142401,0.0003992547245142401
77,0.0,0.0,16,0.002129358530742614,0.002129358530742614
78,0.0,0.0,3,0.0003992547245142401,0.0003992547245142401
79,0.0,0.0,17,0.0022624434389140274,0.0022624434389140274
80,0.0,0.0,2,0.00026616981634282674,0.00026616981634282674
81,0.0,0.0,7,0.0009315943571998936,0.0009315943571998936
82,0.0,0.0,7,0.0009315943571998936,0.0009315943571998936
83,0.0,0.0,6,0.0007985094490284802,0.0007985094490284802
84,0.0,0.0,14,0.0018631887143997872,0.0018631887143997872
85,0.0,0.0,13,0.0017301038062283738,0.0017301038062283738
86,0.0,0.0,2,0.00026616981634282674,0.00026616981634282674
87,0.0,0.0,8,0.001064679265371307,0.001064679265371307
88,0.0,0.0,7,0.0009315943571998936,0.0009315943571998936
89,0.0,0.0,5,0.0006654245408570668,0.0006654245408570668
90,0.0,0.0,5,0.0006654245408570668,0.0006654245408570668
91,0.0,0.0,6,0.0007985094490284802,0.0007985094490284802
