topic,n_posts,share
-1,2541,0.33816875166356136
0,1276,0.16981634282672345
1,389,0.0517700292786798
2,210,0.027947830715996807
3,509,0.0677402182592494
4,230,0.030609528879425075
5,194,0.025818472185254192
6,92,0.01224381155177003
7,211,0.02808091562416822
8,87,0.011578387010912962
9,76,0.010114453021027415
10,54,0.007186585041256322
11,48,0.006388075592227841
12,73,0.009715198296513175
13,66,0.008783603939313283
14,57,0.007585839765770562
15,47,0.006254990684056428
16,63,0.008384349214799042
17,79,0.010513707745541655
18,46,0.006121905775885015
19,40,0.005323396326856534
20,17,0.0022624434389140274
21,65,0.00865051903114187
22,49,0.006521160500399255
23,72,0.009582113388341761
24,21,0.0027947830715996805
25,17,0.0022624434389140274
26,20,0.002661698163428267
27,35,0.004657971785999467
28,15,0.0019962736225712006
29,10,0.0013308490817141336
30,6,0.0007985094490284802
31,15,0.0019962736225712006
32,18,0.0023955283470854403
33,45,0.005988820867713601
34,18,0.0023955283470854403
35,9,0.0011977641735427202
36,19,0.0025286132552568537
37,41,0.005456481235027948
38,15,0.0019962736225712006
39,14,0.0018631887143997872
40,30,0.003992547245142401
41,16,0.002129358530742614
42,23,0.0030609528879425073
43,6,0.0007985094490284802
44,9,0.0011977641735427202
45,32,0.004258717061485228
46,16,0.002129358530742614
47,3,0.0003992547245142401
48,23,0.0030609528879425073
49,14,0.0018631887143997872
50,10,0.0013308490817141336
51,8,0.001064679265371307
52,20,0.002661698163428267
53,5,0.0006654245408570668
54,14,0.0018631887143997872
55,14,0.0018631887143997872
56,21,0.0027947830715996805
57,8,0.001064679265371307
58,12,0.0015970188980569604
59,10,0.0013308490817141336
60,4,0.0005323396326856535
61,8,0.001064679265371307
62,21,0.0027947830715996805
63,10,0.0013308490817141336
64,13,0.0017301038062283738
65,21,0.0027947830715996805
66,10,0.0013308490817141336
67,12,0.0015970188980569604
68,13,0.0017301038062283738
69,10,0.0013308490817141336
70,10,0.0013308490817141336
71,19,0.0025286132552568537
72,21,0.0027947830715996805
73,8,0.001064679265371307
74,5,0.0006654245408570668
75,5,0.0006654245408570668
76,3,0.0003992547245142401
77,16,0.002129358530742614
78,3,0.0003992547245142401
79,17,0.0022624434389140274
80,2,0.00026616981634282674
81,7,0.0009315943571998936
82,7,0.0009315943571998936
83,6,0.0007985094490284802
84,14,0.0018631887143997872
85,13,0.0017301038062283738
86,2,0.00026616981634282674
87,8,0.001064679265371307
88,7,0.0009315943571998936
89,5,0.0006654245408570668
90,5,0.0006654245408570668
91,6,0.0007985094490284802
