post_id,confusion_bucket,category,feature_name,feature_value,is_open_ended,confidence,evidence_span,rationale,llm_model,chunk_idx,batch_id,call_timestamp
bluesky_0a459eededee1466ddfa3e289d3ad497a8b966068c70c96204f6ba4b0e5fa5b6,tn,surface_lexical,named_proper_nouns_density,Multiple named politicians and place/event names appear.,False,0.95,"""Chris Murphy, Thom Tillis and Kyrsten Sinema""",The post contains several proper names in a short passage.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
bluesky_0a459eededee1466ddfa3e289d3ad497a8b966068c70c96204f6ba4b0e5fa5b6,tn,surface_lexical,approximate_token_length_band,medium,False,0.9,"""But the image solidified after Uvalde""",The combined texts are paragraph-length rather than brief one-liners or long essays.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
bluesky_0a459eededee1466ddfa3e289d3ad497a8b966068c70c96204f6ba4b0e5fa5b6,tn,topic_subject,primary_policy_domain,guns / gun reform,False,0.99,"""pass gun reform""",The post centrally discusses gun reform and Second Amendment politics.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
bluesky_0a459eededee1466ddfa3e289d3ad497a8b966068c70c96204f6ba4b0e5fa5b6,tn,topic_subject,specific_event_or_bill_reference,Uvalde shooting aftermath,False,0.93,"""after Uvalde""",The text explicitly references Uvalde as the event context.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
bluesky_0a459eededee1466ddfa3e289d3ad497a8b966068c70c96204f6ba4b0e5fa5b6,tn,topic_subject,geographic_scope,US national with Texas reference,False,0.9,"""Republicans in Texas""",The post names Texas and national-level politicians.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
bluesky_0a459eededee1466ddfa3e289d3ad497a8b966068c70c96204f6ba4b0e5fa5b6,tn,semantic_content,factual_assertion_vs_speculation,assertive factual-political characterization,False,0.91,"""put his credibility on the line to pass gun reform""",The post asserts a political action and its reputational consequences.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
bluesky_0a459eededee1466ddfa3e289d3ad497a8b966068c70c96204f6ba4b0e5fa5b6,tn,pragmatics_intent,persuasion_or_argumentation,evaluates a politician's bipartisan reputation,False,0.9,"""but he's never been much for bipartisanship""",The text advances an evaluative argument about the politician's stance and image.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
bluesky_0a459eededee1466ddfa3e289d3ad497a8b966068c70c96204f6ba4b0e5fa5b6,tn,target_directionality,criticized_actor_type,political party/base and unnamed politician,False,0.91,"""Republicans in Texas dinged him""",The post describes Republican criticism of a politician.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
bluesky_0a459eededee1466ddfa3e289d3ad497a8b966068c70c96204f6ba4b0e5fa5b6,tn,target_directionality,mirror_shift_direction,mirror reframes gun reform compromise as conservative betrayal of gun rights,False,0.96,"""caved on the Second Amendment""",The mirror retargets the original bipartisan-gun-reform framing into a pro-Second-Amendment critique.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
bluesky_0a459eededee1466ddfa3e289d3ad497a8b966068c70c96204f6ba4b0e5fa5b6,tn,compositional_syntax,contrastive_but_however_structure,contrastive 'but' construction,False,0.97,"""Republicans in Texas dinged him for that, but""",The post uses 'but' to contrast criticism with a broader assessment.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
bluesky_0a533f7ea1f7602d729ea1550f9cf668ec90e6de5a2a3602c2becd2b7f741303,tn,surface_lexical,informal_register_or_slang,informal identity slang and casual phrasing,False,0.9,"""mediocre cishet white dudes""",The phrase uses informal social-media register and slang-like wording.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
bluesky_0a533f7ea1f7602d729ea1550f9cf668ec90e6de5a2a3602c2becd2b7f741303,tn,surface_lexical,approximate_token_length_band,medium,False,0.9,"""I'm so confused.""",The post is a compact paragraph of moderate length.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
bluesky_0a533f7ea1f7602d729ea1550f9cf668ec90e6de5a2a3602c2becd2b7f741303,tn,topic_subject,primary_policy_domain,guns / gun control,False,0.99,"""US gun control policies""",Gun control policies are the central topic.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
bluesky_0a533f7ea1f7602d729ea1550f9cf668ec90e6de5a2a3602c2becd2b7f741303,tn,topic_subject,geographic_scope,US national,False,0.92,"""US gun control policies""",The post explicitly locates the policy discussion in the United States.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
bluesky_0a533f7ea1f7602d729ea1550f9cf668ec90e6de5a2a3602c2becd2b7f741303,tn,semantic_content,causal_claim_present,gun-control laws are claimed to have unequal effects,False,0.97,"""disproportionately affect people who are already marginalized""",The text claims a policy causes disproportionate burdens.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
bluesky_0a533f7ea1f7602d729ea1550f9cf668ec90e6de5a2a3602c2becd2b7f741303,tn,semantic_content,victimhood_or_persecution_framing,marginalized people framed as burdened by policy,False,0.94,"""people who are already marginalized""",The post frames marginalized groups as negatively affected by gun laws.,gpt-5.5,3,tn/batch_0003,2026-07-16T04:37:31.591002+00:00
