post_id,confusion_bucket,category,feature_name,feature_value,is_open_ended,confidence,evidence_span,rationale,llm_model,chunk_idx,batch_id,call_timestamp
bluesky_0116d3fab48cfd279a59400e4cfdd858d78b3f3682d5e83d7e9f89d0282e1835,tp,surface_lexical,named_proper_nouns_density,"Multiple political/geographic proper nouns: NRA, Americans, USA",False,0.9,NRA's line... USA,"The post repeatedly names the NRA, Americans/Yanks, and the USA.",gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_0116d3fab48cfd279a59400e4cfdd858d78b3f3682d5e83d7e9f89d0282e1835,tp,surface_lexical,informal_register_or_slang,Informal dialectal phrasing,False,0.88,why ain't ya Yanks?,The phrase uses colloquial contraction and informal address.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_0116d3fab48cfd279a59400e4cfdd858d78b3f3682d5e83d7e9f89d0282e1835,tp,topic_subject,primary_policy_domain,guns / gun rights / gun reform,False,0.98,gun rights... gun reforms,The central subject is gun rights and opposition to gun reforms.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_0116d3fab48cfd279a59400e4cfdd858d78b3f3682d5e83d7e9f89d0282e1835,tp,topic_subject,geographic_scope,national: USA,False,0.91,in USA,The post explicitly frames the issue as occurring in the USA.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_0116d3fab48cfd279a59400e4cfdd858d78b3f3682d5e83d7e9f89d0282e1835,tp,semantic_content,policy_prescription_present,Gun rights justified as enabling resistance to tyranny,False,0.92,so if need be Americans can overthrow a tyrannical government,The quoted argument presents a policy rationale for preserving gun rights.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_0116d3fab48cfd279a59400e4cfdd858d78b3f3682d5e83d7e9f89d0282e1835,tp,semantic_content,normative_moral_language,Government characterized as tyrannical,False,0.89,overthrow a tyrannical government,The language invokes moral-political judgment through the term tyrannical.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_0116d3fab48cfd279a59400e4cfdd858d78b3f3682d5e83d7e9f89d0282e1835,tp,pragmatics_intent,rhetorical_challenge,Challenges audience to act on stated gun-rights rationale,True,0.94,"So, why ain't ya Yanks?",The question functions as a pointed challenge rather than a neutral information request.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_0116d3fab48cfd279a59400e4cfdd858d78b3f3682d5e83d7e9f89d0282e1835,tp,pragmatics_intent,ridicule_or_mockery,Mocks Americans for not acting on pro-gun rhetoric,False,0.9,"So, why ain't ya Yanks?",The phrasing derides the target as hypocritical or inactive.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_0116d3fab48cfd279a59400e4cfdd858d78b3f3682d5e83d7e9f89d0282e1835,tp,target_directionality,criticized_actor_type,Advocacy organization / pro-gun movement,False,0.91,the NRA's line,The NRA and its argument are the objects of criticism.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_0116d3fab48cfd279a59400e4cfdd858d78b3f3682d5e83d7e9f89d0282e1835,tp,target_directionality,left_right_directional_cue,Critique of pro-gun/NRA position,False,0.9,gun rights... NRA's line,The post criticizes a well-known right-aligned gun-rights organization.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_0116d3fab48cfd279a59400e4cfdd858d78b3f3682d5e83d7e9f89d0282e1835,tp,target_directionality,mirror_shift_direction,Mirror shifts from criticizing NRA/pro-gun rationale to criticizing the right as arming domestic terrorists via gun-law framing,False,0.96,gun rights... NRA's line → gun laws... gun reform advocates' line,The mirror re-targets the argument toward gun reform advocacy and right-wing arming of terrorists.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_0116d3fab48cfd279a59400e4cfdd858d78b3f3682d5e83d7e9f89d0282e1835,tp,compositional_syntax,rhetorical_question,Rhetorical question challenging the addressee,False,0.93,"So, why ain't ya Yanks?",The final sentence is a challenge framed as a question.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_0116d3fab48cfd279a59400e4cfdd858d78b3f3682d5e83d7e9f89d0282e1835,tp,compositional_syntax,second_person_direct_address,Direct address to 'you Yanks',False,0.89,you Yanks needed those guns,The post directly addresses a second-person audience.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_012fbd4e2985cdd2fb49d761823a521425229096ea7a8735b0186b26feb0297f,tp,surface_lexical,named_proper_nouns_density,"Several proper nouns: Trumpist, Australia, UK",False,0.9,Australia and the UK,The post contains named political/geographic references.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_012fbd4e2985cdd2fb49d761823a521425229096ea7a8735b0186b26feb0297f,tp,surface_lexical,informal_register_or_slang,Derisive wordplay/slang,False,0.88,fossil-fool funded,The phrase 'fossil-fool' is informal mocking wordplay.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_012fbd4e2985cdd2fb49d761823a521425229096ea7a8735b0186b26feb0297f,tp,topic_subject,primary_policy_domain,climate / energy policy,False,0.97,renewable energy and storage,"The main topic is renewable energy, fossil fuels, and green policy.",gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_012fbd4e2985cdd2fb49d761823a521425229096ea7a8735b0186b26feb0297f,tp,topic_subject,geographic_scope,international: Australia and UK,False,0.92,Australia and the UK,The post explicitly references Australia and the UK.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
bluesky_012fbd4e2985cdd2fb49d761823a521425229096ea7a8735b0186b26feb0297f,tp,semantic_content,causal_claim_present,Renewable-energy success causes right-wing think tanks to push Trumpist platform,False,0.96,the success of renewable energy and storage is why,The post explicitly uses 'is why' to present a causal explanation.,gpt-5.5,0,tp/batch_0000,2026-07-16T04:18:01.836017+00:00
