post_id,confusion_bucket,category,feature_name,feature_value,is_open_ended,confidence,evidence_span,rationale,llm_model,chunk_idx,batch_id,call_timestamp
bluesky_0a2b9004052bdafe88f229a9058c9d3fb514d3a54bea1ea830a2a1b4341c727d,tp,topic_subject,primary_policy_domain,guns / Second Amendment,False,0.98,Second Amendment rights,The post centers on gun rights and the Second Amendment.,gpt-5.5,1,tp/batch_0001,2026-07-16T04:20:15.785173+00:00
bluesky_0a2b9004052bdafe88f229a9058c9d3fb514d3a54bea1ea830a2a1b4341c727d,tp,semantic_content,victimhood_or_persecution_framing,Black people framed as denied gun rights,False,0.94,Black people don't have Second Amendment rights in this country,The original claims a racial group is excluded from a constitutional right.,gpt-5.5,1,tp/batch_0001,2026-07-16T04:20:15.785173+00:00
bluesky_0a2b9004052bdafe88f229a9058c9d3fb514d3a54bea1ea830a2a1b4341c727d,tp,target_directionality,criticized_actor_type,white male mass shooters / gun-rights beneficiaries,False,0.95,crazy white guys who shoot up schools,The original criticizes white men associated with mass shootings as privileged gun-rights holders.,gpt-5.5,1,tp/batch_0001,2026-07-16T04:20:15.785173+00:00
bluesky_0a2b9004052bdafe88f229a9058c9d3fb514d3a54bea1ea830a2a1b4341c727d,tp,compositional_syntax,list_or_enumeration,enumeration of shooting targets/locations,False,0.9,"schools, churches, Walmarts, theaters, night clubs, concerts, presidents, and politicians",The sentence uses a long comma-separated list.,gpt-5.5,1,tp/batch_0001,2026-07-16T04:20:15.785173+00:00
bluesky_0a2b9004052bdafe88f229a9058c9d3fb514d3a54bea1ea830a2a1b4341c727d,tp,target_directionality,mirror_shift_direction,mirror shifts from racialized critique of gun rights to anti-elite pro-gun-rights framing,False,0.96,"coastal elites who think only criminals, cartels, and government enforcers should be armed",The mirror retargets blame from white shooters to coastal elites allegedly disarming regular Americans.,gpt-5.5,1,tp/batch_0001,2026-07-16T04:20:15.785173+00:00
bluesky_0a2b9004052bdafe88f229a9058c9d3fb514d3a54bea1ea830a2a1b4341c727d,tp,semantic_content,victimhood_or_persecution_framing,law-abiding gun owners / regular Americans framed as defenseless victims,False,0.91,regular Americans are left defenseless,The mirror frames ordinary gun owners as deprived of protection.,gpt-5.5,1,tp/batch_0001,2026-07-16T04:20:15.785173+00:00
bluesky_0c0c8fe880b22cc36e08ea9f1bcfbc83148f2147c203a20d56bccd30e0d94e19,tp,topic_subject,primary_policy_domain,guns / gun reform,False,0.98,push for gun reform,The post discusses gun reform in response to an active-shooter scare.,gpt-5.5,1,tp/batch_0001,2026-07-16T04:20:15.785173+00:00
bluesky_0c0c8fe880b22cc36e08ea9f1bcfbc83148f2147c203a20d56bccd30e0d94e19,tp,surface_lexical,profanity_or_taboo_language,mild profanity,False,0.9,not a damn thing,The text uses taboo language for emphasis.,gpt-5.5,1,tp/batch_0001,2026-07-16T04:20:15.785173+00:00
bluesky_0c0c8fe880b22cc36e08ea9f1bcfbc83148f2147c203a20d56bccd30e0d94e19,tp,semantic_content,policy_prescription_present,implies need for gun reform,False,0.93,not a damn thing will be done by them to push for gun reform,The original argues that powerful people should act on gun reform.,gpt-5.5,1,tp/batch_0001,2026-07-16T04:20:15.785173+00:00
bluesky_0c0c8fe880b22cc36e08ea9f1bcfbc83148f2147c203a20d56bccd30e0d94e19,tp,pragmatics_intent,emphatic_outrage,outrage at inaction after shooter scare,False,0.92,"And somehow, not a damn thing will be done",The wording expresses strong frustration about expected inaction.,gpt-5.5,1,tp/batch_0001,2026-07-16T04:20:15.785173+00:00
