post_id,confusion_bucket,category,feature_name,feature_value,is_open_ended,confidence,evidence_span,rationale,llm_model,chunk_idx,batch_id,call_timestamp
bluesky_3c8989244dbf9d4054faebfcb95701071a906b3cf949bf9118ab035cba3dbf49,fn,topic_subject,primary_policy_domain,guns / assault weapons,False,0.99,gun lobbies,The post centers on gun lobbying and military-grade assault weapons.,gpt-5.5,3,fn/batch_0003,2026-07-16T04:11:57.406049+00:00
bluesky_3c8989244dbf9d4054faebfcb95701071a906b3cf949bf9118ab035cba3dbf49,fn,topic_subject,geographic_scope,national policy context implied,False,0.9,civilians,The discussion concerns weapons being available to civilians as a broad public-policy issue.,gpt-5.5,3,fn/batch_0003,2026-07-16T04:11:57.406049+00:00
bluesky_3c8989244dbf9d4054faebfcb95701071a906b3cf949bf9118ab035cba3dbf49,fn,semantic_content,causal_claim_present,Gun lobbies are claimed to have enabled military-grade weapons to enter civilian markets.,False,0.94,has use smoke and mirrors to get military grade weapons on the market,The sentence asserts a causal role for gun lobbies in market availability.,gpt-5.5,3,fn/batch_0003,2026-07-16T04:11:57.406049+00:00
bluesky_3c8989244dbf9d4054faebfcb95701071a906b3cf949bf9118ab035cba3dbf49,fn,semantic_content,conspiratorial_framing,deceptive manipulation by gun lobbies,False,0.92,smoke and mirrors,The phrase suggests hidden or deceptive tactics by a political actor.,gpt-5.5,3,fn/batch_0003,2026-07-16T04:11:57.406049+00:00
bluesky_3c8989244dbf9d4054faebfcb95701071a906b3cf949bf9118ab035cba3dbf49,fn,semantic_content,factual_assertion_vs_speculation,asserts that many assault weapons on the market are military grade,False,0.92,Military grade weapons,The post presents the claim as fact rather than speculation.,gpt-5.5,3,fn/batch_0003,2026-07-16T04:11:57.406049+00:00
bluesky_3c8989244dbf9d4054faebfcb95701071a906b3cf949bf9118ab035cba3dbf49,fn,pragmatics_intent,persuasion_or_argumentation,argues against civilian availability of assault weapons,False,0.9,smoke and mirrors,The post makes an argumentative claim about lobbying and weapons markets.,gpt-5.5,3,fn/batch_0003,2026-07-16T04:11:57.406049+00:00
bluesky_3c8989244dbf9d4054faebfcb95701071a906b3cf949bf9118ab035cba3dbf49,fn,target_directionality,criticized_actor_type,gun lobby / interest group,False,0.96,The gun lobbies,The gun lobby is explicitly blamed for the criticized outcome.,gpt-5.5,3,fn/batch_0003,2026-07-16T04:11:57.406049+00:00
bluesky_3c8989244dbf9d4054faebfcb95701071a906b3cf949bf9118ab035cba3dbf49,fn,target_directionality,mirror_shift_direction,mirror shifts criticism from gun lobbies to the radical left / anti-gun advocates,False,0.95,The radical left has used smoke and mirrors,The mirror retargets the accusation of deception from pro-gun lobbies to left-wing anti-gun actors.,gpt-5.5,3,fn/batch_0003,2026-07-16T04:11:57.406049+00:00
bluesky_3c8989244dbf9d4054faebfcb95701071a906b3cf949bf9118ab035cba3dbf49,fn,surface_lexical,approximate_token_length_band,medium,False,0.92,The gun lobbies   has use smoke and mirrors,The original is a single medium-length sentence of roughly thirty words.,gpt-5.5,3,fn/batch_0003,2026-07-16T04:11:57.406049+00:00
bluesky_3db3a7222fcdfe118436b6edc2694cda0429be6848ffeb8f0a98b26febe99a19,fn,topic_subject,primary_policy_domain,climate / energy,False,0.99,solar and wind,"The post discusses renewable energy, data centers, and global warming.",gpt-5.5,3,fn/batch_0003,2026-07-16T04:11:57.406049+00:00
bluesky_3db3a7222fcdfe118436b6edc2694cda0429be6848ffeb8f0a98b26febe99a19,fn,topic_subject,culture_war_topic_salience,climate and energy conflict,False,0.93,global warming,Climate and energy policy are presented as contested political issues.,gpt-5.5,3,fn/batch_0003,2026-07-16T04:11:57.406049+00:00
bluesky_3db3a7222fcdfe118436b6edc2694cda0429be6848ffeb8f0a98b26febe99a19,fn,semantic_content,causal_claim_present,data centers are said to contribute to global warming,False,0.93,data centers that also drive global warming,The post asserts that tolerating certain data centers worsens climate change.,gpt-5.5,3,fn/batch_0003,2026-07-16T04:11:57.406049+00:00
bluesky_3db3a7222fcdfe118436b6edc2694cda0429be6848ffeb8f0a98b26febe99a19,fn,semantic_content,policy_prescription_present,someone should stop actors undermining solar and wind,False,0.9,until someone stops them,The phrase implies intervention to halt the criticized behavior.,gpt-5.5,3,fn/batch_0003,2026-07-16T04:11:57.406049+00:00
