post_id,confusion_bucket,category,feature_name,feature_value,is_open_ended,confidence,evidence_span,rationale,llm_model,chunk_idx,batch_id,call_timestamp
bluesky_31f30be2c40d37a5dd00118712e24818a2d72bd5f163083f559362d80c477a48,fp,surface_lexical,profanity_or_taboo_language,Uses profanity/taboo language,False,0.92,"""some dumb shit""","The phrase contains the profanity/taboo term ""shit.""",gpt-5.5,6,fp/batch_0006,2026-07-16T03:58:41.393597+00:00
bluesky_31f30be2c40d37a5dd00118712e24818a2d72bd5f163083f559362d80c477a48,fp,surface_lexical,informal_register_or_slang,"Informal, colloquial register",False,0.88,"""crazy earl"" story is some dumb shit",The wording is casual and insult-oriented rather than formal.,gpt-5.5,6,fp/batch_0006,2026-07-16T03:58:41.393597+00:00
bluesky_31f30be2c40d37a5dd00118712e24818a2d72bd5f163083f559362d80c477a48,fp,topic_subject,primary_policy_domain,guns / gun control,False,0.98,"""assault weapon bans""",Both versions discuss assault weapon bans and gun rights.,gpt-5.5,6,fp/batch_0006,2026-07-16T03:58:41.393597+00:00
bluesky_31f30be2c40d37a5dd00118712e24818a2d72bd5f163083f559362d80c477a48,fp,semantic_content,causal_claim_present,Gun bans are claimed to save lives,False,0.96,"""assault weapon bans save lives""",The post asserts a causal effect of assault weapon bans on saving lives.,gpt-5.5,6,fp/batch_0006,2026-07-16T03:58:41.393597+00:00
bluesky_31f30be2c40d37a5dd00118712e24818a2d72bd5f163083f559362d80c477a48,fp,semantic_content,factual_assertion_vs_speculation,Assertive factual claim about policy effectiveness,False,0.9,"""do nothing to stop crime""",The mirror states a factual-sounding claim about assault weapon bans and crime.,gpt-5.5,6,fp/batch_0006,2026-07-16T03:58:41.393597+00:00
bluesky_31f30be2c40d37a5dd00118712e24818a2d72bd5f163083f559362d80c477a48,fp,pragmatics_intent,ridicule_or_mockery,Mocks the target's story/narrative,False,0.9,"""crazy""; ""dumb shit""",The post uses dismissive insults to ridicule the opposing claim.,gpt-5.5,6,fp/batch_0006,2026-07-16T03:58:41.393597+00:00
bluesky_31f30be2c40d37a5dd00118712e24818a2d72bd5f163083f559362d80c477a48,fp,target_directionality,criticized_actor_type,Individual political opponent or policy advocate,False,0.9,"""he doesn't want to admit"" / ""she doesn't want to admit""",Both versions criticize a person for allegedly refusing to admit a gun-policy claim.,gpt-5.5,6,fp/batch_0006,2026-07-16T03:58:41.393597+00:00
bluesky_31f30be2c40d37a5dd00118712e24818a2d72bd5f163083f559362d80c477a48,fp,target_directionality,mirror_shift_direction,Mirror shifts from pro-gun-control critique to anti-gun-control critique,False,0.95,"""save lives"" / ""do nothing to stop crime""","The original supports assault weapon bans, while the mirror argues they are ineffective and defends Second Amendment rights.",gpt-5.5,6,fp/batch_0006,2026-07-16T03:58:41.393597+00:00
bluesky_31f30be2c40d37a5dd00118712e24818a2d72bd5f163083f559362d80c477a48,fp,open_ended,second_amendment_framing,Gun ownership framed as constitutional rights issue,True,0.92,"""Second Amendment rights""",The mirror explicitly frames gun enjoyment as exercise of Second Amendment rights.,gpt-5.5,6,fp/batch_0006,2026-07-16T03:58:41.393597+00:00
bluesky_325cf265341892c14ca24769d1559a520f11292cee351713f29434d99003be85,fp,surface_lexical,informal_register_or_slang,Colloquial urgency phrase,False,0.87,"""like yesterday""","The phrase ""like yesterday"" is informal idiomatic wording.",gpt-5.5,6,fp/batch_0006,2026-07-16T03:58:41.393597+00:00
