topic,party_group,n_ratings,n_keep,keep_rate
-1,democrat,22463,15572,0.6932288652450697
-1,republican,20669,14457,0.6994532875320528
0,democrat,2872,2360,0.8217270194986073
0,republican,2893,2358,0.8150708606982371
1,democrat,2300,1730,0.7521739130434782
1,republican,2168,1647,0.7596863468634686
2,democrat,2308,1329,0.5758232235701907
2,republican,2059,1251,0.6075764934434191
3,democrat,1865,1389,0.7447721179624665
3,republican,1713,1301,0.7594862813776999
4,democrat,1788,1062,0.5939597315436241
4,republican,1473,872,0.5919891378139851
5,democrat,1600,1110,0.69375
5,republican,1487,1025,0.6893073301950235
6,democrat,1500,887,0.5913333333333334
6,republican,1377,814,0.5911401597676107
7,democrat,959,643,0.670490093847758
7,republican,917,619,0.6750272628135223
8,democrat,819,630,0.7692307692307693
8,republican,860,657,0.763953488372093
9,democrat,669,404,0.6038863976083707
9,republican,648,415,0.6404320987654321
10,democrat,639,466,0.729264475743349
10,republican,671,495,0.7377049180327869
11,democrat,602,467,0.7757475083056479
11,republican,618,457,0.7394822006472492
12,democrat,604,427,0.706953642384106
12,republican,563,378,0.6714031971580817
13,democrat,514,382,0.7431906614785992
13,republican,581,423,0.7280550774526678
14,democrat,571,341,0.5971978984238179
14,republican,478,276,0.5774058577405857
15,democrat,480,305,0.6354166666666666
15,republican,426,265,0.6220657276995305
16,democrat,457,331,0.7242888402625821
16,republican,393,292,0.7430025445292621
17,democrat,437,314,0.7185354691075515
17,republican,394,293,0.7436548223350253
18,democrat,410,326,0.7951219512195122
18,republican,369,292,0.7913279132791328
19,democrat,444,140,0.3153153153153153
19,republican,282,90,0.3191489361702128
20,democrat,330,236,0.7151515151515152
20,republican,308,239,0.775974025974026
21,democrat,266,209,0.7857142857142857
21,republican,289,233,0.8062283737024222
22,democrat,289,219,0.7577854671280276
22,republican,249,170,0.6827309236947792
23,democrat,262,216,0.8244274809160306
23,republican,242,194,0.8016528925619835
24,democrat,246,179,0.7276422764227642
24,republican,257,201,0.7821011673151751
25,democrat,213,154,0.7230046948356808
25,republican,231,158,0.683982683982684
26,democrat,213,141,0.6619718309859155
26,republican,179,121,0.6759776536312849
27,democrat,191,140,0.7329842931937173
27,republican,195,128,0.6564102564102564
28,democrat,211,149,0.7061611374407583
28,republican,168,110,0.6547619047619048
29,democrat,188,135,0.7180851063829787
29,republican,188,141,0.75
30,democrat,206,139,0.6747572815533981
30,republican,160,103,0.64375
31,democrat,190,150,0.7894736842105263
31,republican,169,128,0.757396449704142
32,democrat,186,138,0.7419354838709677
32,republican,166,111,0.6686746987951807
33,democrat,170,129,0.7588235294117647
33,republican,153,124,0.8104575163398693
34,democrat,170,129,0.7588235294117647
34,republican,155,113,0.7290322580645161
35,democrat,167,114,0.6826347305389222
35,republican,168,107,0.6369047619047619
36,democrat,174,117,0.6724137931034483
36,republican,151,95,0.6291390728476821
37,democrat,144,112,0.7777777777777778
37,republican,151,111,0.7350993377483444
38,democrat,169,86,0.5088757396449705
38,republican,123,49,0.3983739837398374
39,democrat,148,116,0.7837837837837838
39,republican,143,107,0.7482517482517482
40,democrat,137,96,0.7007299270072993
